Geoname ID,Name,ASCII Name,Alternate Names,Feature Class,Feature Code,Country Code,Country name EN,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,LABEL EN,Coordinates
454273,Vecumnieki,Vecumnieki,"Vecmuiza,Vecmuiža,Vecumnieki,Vetsmuizha,Vetsumneki,Vetsumniyeki,Вецумниеки",P,PPL,LV,Latvia,,04,0409594,,,2103,35.0,35,Europe/Riga,2021-11-09,Latvia,"56.60608, 24.52232"
456503,Priekuļi,Priekuli,"Myza Priekulu,Myza Priyekuli,Priekuli,Priekulu Muiza,Priekuļi,Priekuļu Muiža,Priyekuli,Приекули",P,PPLA2,LV,Latvia,,05,0427372,,,2532,,116,Europe/Riga,2021-08-16,Latvia,"57.315, 25.36147"
457408,Mērsrags,Mersrags,"Margraf,Markgrafen,Mererags,Mersrag,Mersragciems,Mersragiems,Mersrags,Mersya,Mērsrags",P,PPLA2,LV,Latvia,,28,0887600,,,1860,,5,Europe/Riga,2021-08-16,Latvia,"57.33535, 23.12455"
457860,Līvāni,Livani,"Leivuons,Livane,Livani,Livany,Lyvanai,Līvanē,Līvāni,li wa ni,lyfany,lywany,Ливани,Ливаны,Лівани,ليفاني,لیوانی,利瓦尼",P,PPLA,LV,Latvia,,90,0761211,,,10073,,92,Europe/Riga,2016-12-02,Latvia,"56.35431, 26.17579"
458460,Kuldīga,Kuldiga,"Goldingen,Kuldiga,Kuldigas,Kuldyga,Kuldīga,Kuldīgas,ku er di jia,kuladiga,kuldiga,kurudiga,kwldyga,kwldygha,Кулдига,Кулдыга,Кулдіга,كولديغا,کولدیگا,ਕੁਲਡਿਗਾ,კულდიგა,クルディーガ,库尔迪加,쿨디가",P,PPLA,LV,Latvia,,15,0620201,,,13289,,28,Europe/Riga,2019-09-05,Latvia,"56.97399, 21.95721"
460433,Dārzciems,Darzciems,"Darzciems,Dārzciems",P,PPL,LV,Latvia,,02,,,,18956,,84,Europe/Riga,2021-11-10,Latvia,"57.48253, 26.44238"
454537,Vangaži,Vangazi,"Vangazhi,Vangazi,Vangaži,Вангажи",P,PPL,LV,Latvia,,C7,0801817,,,3235,,21,Europe/Riga,2021-11-09,Latvia,"57.09358, 24.54468"
453922,Zelmeņi,Zelmeni,"Bites,Sovkhoz Brivays-Tsel'sh,Sovkhoz Brivays-Tsel’sh,Zelmeni,Zelmeņi",P,PPLA2,LV,Latvia,,08,0468988,,,0,,51,Europe/Riga,2021-08-16,Latvia,"56.45167, 23.35194"
457142,Nīca,Nica,"Nica,Nicas Muiza,Nitsa,Nīca,Nīcas Muiža",P,PPLA2,LV,Latvia,,DN,0647978,,,0,,6,Europe/Riga,2021-08-16,Latvia,"56.34601, 21.06401"
458892,Ķegums,Kegums,"Keggum,Keggums,Kegumas,Kegums,Kiegumos,kai gu mu si,kghwms,kgwms,Ķegums,Кегумс,كغومس,کگومس,凱古姆斯",P,PPLA2,LV,Latvia,,21,0741009,,,2372,,41,Europe/Riga,2021-08-16,Latvia,"56.7451, 24.72439"
461539,Aloja,Aloja,"Aloja,Alojas Muiza,Alojas Muiža,Aloya,Aluoja,Aluoje,Aluojė,Myza Aloya,a luo ya,aloia,alwya,alwya  ltwny,Алоя,آلويا,آلویا، لتونی,آلویا، لٹویا,ალოია,阿洛亞",P,PPL,LV,Latvia,,18,0661007,,,4520,,85,Europe/Riga,2022-07-31,Latvia,"57.76723, 24.87743"
461628,Ainaži,Ainazi,"Ainaze,Ainazi,Ainaziai,Ainaži,Ainažiai,Ainažē,Ajnazhi,Ajnazhy,Amazi,Aynazhi,Gainash,Hainasch,Heinaste,ai na ri,ainaji,ainazhi,aynajy,aynazhy,Айнажи,Айнажы,Айнажі,آيناجي,آیناژی,აინაჟი,アイナジ,艾納日,아이나지",P,PPL,LV,Latvia,,18,0661405,,,1278,,9,Europe/Riga,2021-08-04,Latvia,"57.86348, 24.35853"
456202,Rēzekne,Rezekne,"Rehzehkneh,Rezekne,Rezeknė,Rezhitsa,Rezne,Riezekne,Riezeknė,Rositten,Ryezhitsa,Rzezyca,Rzeżyca,Rēzekne,Rēzne,Rėzeknė,lei ze ke nei,lejekeune,rezekune,ryzkny,rzqnh,Ρέζεκνε,Резекне,Рэзэкнэ,Ռեզեկնե,רזקנה,ريزكني,რეზეკნე,レーゼクネ,雷澤克內,레제크네",P,PPLA,LV,Latvia,,23,0210000,,,38340,,156,Europe/Riga,2023-07-23,Latvia,"56.51028, 27.34"
456506,Priekule,Priekule,"Preekuln,Prekule,Prekuln,Priekule,Priyekule,Priyekuli,Приекуле",P,PPLA2,LV,Latvia,,DN,0641615,,,2550,,59,Europe/Riga,2021-08-16,Latvia,"56.44679, 21.58968"
459563,Inčukalns,Incukalns,"Inchukaln,Inchukalns,Incukalns,Inčukalns,Инчукалнс",P,PPL,LV,Latvia,,C7,0801864,,,2028,,55,Europe/Riga,2021-08-04,Latvia,"57.09867, 24.6863"
454310,Ventspils,Ventspils,"VNT,Ventspilis,Ventspils,Vindau,Vindava,Wentspils,Windau,Вентспилс",P,PPLA,LV,Latvia,,32,0270000,,,42644,,9,Europe/Riga,2019-11-25,Latvia,"57.39485, 21.56121"
454768,Tukums,Tukums,"Tuckum,Tukkum,Tukum,Tukumas,Tukumes,Tukums,Tukumės,toukumusu,tu ku mu si,tukumseu,twkwms,twkwmws,Тукумс,توكوموس,توکومس,トゥクムス,圖庫姆斯,투쿰스",P,PPLA,LV,Latvia,,29,0900201,,,18348,,62,Europe/Riga,2020-05-07,Latvia,"56.96764, 23.15554"
457915,Liezēre,Liezere,"Liezere,Liezeres,Liezeres Muiza,Liezeres pagasts,Liezēre,Liezēres,Liezēres Muiža,Liezēres pagasts,Liyezere,Myza Lyezere,Лиезере",P,PPL,LV,Latvia,,20,0700268,,,1108,,191,Europe/Riga,2021-11-09,Latvia,"57.01823, 26.06395"
459448,Jaunaglona,Jaunaglona,"Jaunaglona,Яунаглона",P,PPL,LV,Latvia,,22,,,,1053,148.0,146,Europe/Riga,2013-08-07,Latvia,"56.16066, 27.00714"
455166,Strenči,Strenci,"Stackeln,Stakkeln,Strenchi,Strenci,Strencis,Strenči,Стренчи",P,PPLA2,LV,Latvia,,31,0941817,,,1593,,45,Europe/Riga,2021-08-16,Latvia,"57.62574, 25.68535"
455406,Smiltene,Smiltene,"Smilten,Smiltene",P,PPLA,LV,Latvia,,D1,0941615,,,6108,,98,Europe/Riga,2016-12-02,Latvia,"57.42444, 25.90164"
457148,Nereta,Nereta,"Myza Nereta,Nereta,Neretas,Nerft,Нерета",P,PPLA2,LV,Latvia,,01,0327170,,,1282,,80,Europe/Riga,2021-08-16,Latvia,"56.20279, 25.30752"
460474,Dagda,Dagda,"Dagda,Дагда",P,PPLA2,LV,Latvia,,14,0601009,,,2740,,171,Europe/Riga,2021-08-16,Latvia,"56.09512, 27.53723"
461163,Balvi,Balvi,"Balvai,Balve,Balvi,Balvy,Balvē,Bolowsk,Bolvi,ba er wei,balbi,balfy,balwy,balwy  ltwny,blby,Μπάλβι,Балви,Балві,בלבי,بالفي,بالوی,بالوی، لتونی,巴爾維,발비",P,PPLA,LV,Latvia,,03,0380201,,,8409,,117,Europe/Riga,2019-09-05,Latvia,"57.1313, 27.26583"
461224,Baldone,Baldone,"Baldohn,Baldone",P,PPL,LV,Latvia,,80,0800605,,,3664,,29,Europe/Riga,2021-11-09,Latvia,"56.74451, 24.40078"
453850,Zilupe,Zilupe,"Sinuoja,Sīnuoja,Zilope,Zilopė,Zilupe,Zilupes,Ziluppe,Zilupė,ji lu pei,zylwb,zylwp,Зилупе,Зілупе,زيلوب,زیلوپ,濟盧佩",P,PPLA2,LV,Latvia,,19,0681817,,,1897,,124,Europe/Riga,2021-08-16,Latvia,"56.38616, 28.12165"
455260,Stende,Stende,"Stende,Stendesciems,Стенде",P,PPL,LV,Latvia,,28,0880215,,,1559,,91,Europe/Riga,2021-11-10,Latvia,"57.14497, 22.53482"
455520,Skrunda,Skrunda,"Schrunden,Skrunda",P,PPL,LV,Latvia,,15,0621209,,,2659,,36,Europe/Riga,2021-11-10,Latvia,"56.67749, 22.01649"
455523,Skrīveri,Skriveri,"Skriveri,Skrīveri,Скривери",P,PPLA2,LV,Latvia,,01,0328200,,,2879,,77,Europe/Riga,2021-08-16,Latvia,"56.645, 25.12058"
459201,Jūrmala,Jurmala,"Jurmala,Jūrmala,Riga Beach,Riga-Strand,Rigas Iurmala,Rigas Jormalas Pilseta,Rigas Jurmala,Rigas Yurmala,Rigastrand,Rizhskoye Vzmor'ye,Rīgas Jormalas Pilsēta,Rīgas Jūrmala,Yuomala,Yurmala,Юрмала",P,PPLA,LV,Latvia,,13,0130000,,,54088,,6,Europe/Riga,2023-09-20,Latvia,"56.968, 23.77038"
